condition,transformed_path,label,v2_pred,v0_pred,residual_energy,group,diagnosis
clean,data/eval_transformed/wildfake_dalle/clean/636cbe0d3e5db7767c0743bf718eda6c.jpg,1,1.0,0.9999140501022339,2.23382568359375,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/44ce60be85c80dd97b245b921e97e86f.jpg,1,0.9999998807907104,0.9983204007148743,2.307478427886963,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/843234d1265691d4eb21623a31c25550.jpg,1,0.9999934434890747,0.9073652625083923,2.0265464782714844,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000381360.jpg,0,0.00012408483598846942,0.015566605143249035,2.419828176498413,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000270244.jpg,0,0.013223543763160706,0.03136598318815231,2.3217482566833496,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/a6742d09fbfa4ef2998d4183c4255ffc.jpg,1,0.9999990463256836,0.8771357536315918,2.3138957023620605,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000583.jpg,0,1.1121893336851763e-12,1.0152084728431987e-09,2.100755453109741,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000474.jpg,1,1.0,0.9999345541000366,2.1268606185913086,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000005992.jpg,0,3.996056263666503e-10,3.694634320705603e-10,2.2227282524108887,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000987.jpg,0,8.619475966309409e-11,3.241770798467769e-07,2.663682222366333,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000505169.jpg,0,0.22257792949676514,0.0005813179304823279,2.312180995941162,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/4ff5543e34ded28a3de12e62e90fdac2.jpg,1,1.0,0.9999560117721558,2.3732991218566895,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000338.jpg,1,1.0,1.0,1.9359678030014038,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/900fc231bc24a55e089a8b5e9fda6988.jpg,1,0.999966025352478,0.8621463179588318,2.123619318008423,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000854.jpg,0,3.812552046799072e-15,1.8824439229625511e-10,2.1643435955047607,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000697.jpg,1,1.0,0.9999905824661255,2.8090765476226807,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000035682.jpg,0,1.059521270718733e-08,0.0009226952097378671,2.234347343444824,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000817.jpg,0,3.5553778161556693e-06,0.00025066954549402,2.26784086227417,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_001290.jpg,1,0.9999866485595703,0.999583899974823,1.9759442806243896,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000219283.jpg,0,1.9641865947050974e-06,4.4518517825054005e-05,1.805970549583435,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/0c1e8923dd628c147851182ffebcdde1.jpg,1,1.0,0.9998561143875122,2.2310280799865723,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000122.jpg,1,0.9999998807907104,0.9999387264251709,2.1807751655578613,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/3a4cf2463f3eb852369594a8d87b6f74_eba210c9.jpg,1,0.5932042598724365,0.2982504069805145,2.8769092559814453,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000352491.jpg,0,9.52515335939097e-07,0.003322708886116743,2.3115711212158203,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000322574.jpg,0,4.435855682771717e-09,9.378956065120292e-07,1.902525544166565,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_000216.jpg,1,1.0,0.9999901056289673,2.2654197216033936,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/sid_set/clean/validation_001116.jpg,1,0.9999990463256836,0.9998929500579834,2.356621503829956,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/a6dc9cb29bfb6b2531e447584977a1bc.jpg,1,1.0,0.08155845105648041,2.9116649627685547,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/c8a5a55f75b6013f1f7ca71ed048278e.jpg,1,0.9999804496765137,0.9342817068099976,2.133216142654419,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/coco_val2017/clean/000000184338.jpg,0,6.083404514356516e-05,0.001030441839247942,2.5692288875579834,baseline_correct,correctly classified (baseline for comparison)
clean,data/eval_transformed/wildfake_dalle/clean/6ea36c1c91805f754509157673ecb3d2.jpg,1,9.221948898963106e-11,0.000739669892936945,2.6180999279022217,shared_blind_spot,"spatial-only alone was ALSO wrong -- a shared blind spot, not something fusion introduced"
clean,data/eval_transformed/wildfake_dalle/clean/3fc09cc79916e3355d3f20c9168827b1_7e8699b4.jpg,1,1.947793454304403e-10,7.127809112716932e-06,2.70568585395813,shared_blind_spot,"spatial-only alone was ALSO wrong -- a shared blind spot, not something fusion introduced"
clean,data/eval_transformed/wildfake_dalle/clean/3fc09cc79916e3355d3f20c9168827b1_e5d90a6e.jpg,1,1.947793454304403e-10,7.127809112716932e-06,2.70568585395813,shared_blind_spot,"spatial-only alone was ALSO wrong -- a shared blind spot, not something fusion introduced"
clean,data/eval_transformed/wildfake_dalle/clean/bcd29500411351d7730010a3cd701682.jpg,1,7.934127244091371e-10,0.00012093067925889045,2.5824716091156006,shared_blind_spot,"spatial-only alone was ALSO wrong -- a shared blind spot, not something fusion introduced"
